,Source User id,Follower id
321,41635,"[110251481531321454, 110245577597258302, 110233998163434569, 110226725620436225, 110198088964215163, 737227, 110153102933701065, 110103218157729413, 109946727577828079, 110025636484391394, 109315453809257745, 110028408580362397, 110000461395566217, 1145943, 109956859560146518, 109947983377470892, 107347343162123272, 109833896312655563, 109564485523011130]"
2678,37283,"[109698539606541871, 494073, 109247515064122733, 110037196686826878, 109925969691396534, 109608338222308711, 109315894849286430, 109253199563738864, 864101, 109405121722090251, 127165, 109881193344135156, 110059115064805646, 869664, 1185988, 107192220324249637, 109257098418641664, 109377796914836681]"
8328,109312926434105839,"[109520949079004284, 109543399031319888, 110284256838102170, 109824850164971498, 109326527575282503, 110290584187882541, 109909782922629175, 109627700150974330, 110276661458274582, 109490679433560720, 110068921406778348, 110061820625502836, 109628427445508336, 110266470373379975, 109942543815365630, 110261804708151453, 109334117339133222, 109308550305406313, 110251022553495524, 110248292214624362, 109840438341062109, 109524841448390150, 110070803284871424, 110216763427530925, 109241747522482555, 109336851987706232, 110227997946086410, 110221254799657700, 110136854990411670, 110225230267881813, 110230623383625335, 302867, 109564896927210875, 110214662896585629, 109547586769963287, 109354564202240035, 109311815634069832, 110223062530386359, 110225228077037909, 109298579501648776]"
3337,109832884388312174,"[510714, 110128881170754187, 198388, 109627700150974330, 109336851987706232, 109620104004524943, 110232480314456215, 109315258129900872, 109384609960735838, 109512943843764183, 109894677735748542, 109588208538931007, 109666532977945457, 109365992988256667, 109583236722680741, 109452144995328419, 109490631000721329, 109548505884995862, 109378442013235579, 67736, 109367815012189015, 109368983026417784, 109598198898652170, 109246317884313071, 1141140, 109396600805937897, 109293504801311408, 109362988723701990, 109380885882665130, 109521573077278272, 109259332893304595, 109452168015392897, 109253288464043190, 109319499896423264, 109323567127611747, 109498374676153409, 108196506779924437, 108217109248927065, 109326910057619543, 109392611173482909]"
251,109303569653000884,"[109315453809257745, 109536673357703844, 107909616669852316]"
6630,107294039511495511,"[479781, 109327407027574758, 108197294436700328, 109295477644334326, 109631113595910764, 109309376745479752, 108203919461739894, 108312819133323015, 110227049433221821, 110224324027074719, 108227295449013822, 109259475732566097, 109371574556635508, 109837660511226521, 109264018046061313, 109325861740346477, 110095162184360354, 109279396364502819, 108200595387454808, 109246381501652753, 109259215170505523, 109733837329715081, 109366233046412856, 108183148109514213, 109310915693952756, 50432, 109376068964106460, 109942478499266793, 109893180561764726, 109316250401826459, 109320676967877230, 144121, 108278081504860285, 109631167640820914, 109239298906398233, 108915351112973358, 108199110301518557, 109348124174544371, 109245273625128761, 109308975338756731]"
39,108223164730156358,"[110276191564151010, 109948603352570228, 109818402940617850, 109557315574019435, 110014935206253226, 109291939553787413, 106239879479280892, 109925942660454214, 109590968244958067, 109801497704106084, 110162485717735547, 109754877694819616, 109432039920970023, 110155675062672957, 109652041187640871, 110070289430549579, 110003119963357276, 109643234020568339, 109276800870207724, 110031313509399236, 109289966850169404]"
4819,1133225,"[109520949079004284, 109543399031319888, 110284256838102170, 109824850164971498, 109326527575282503, 110290584187882541, 109909782922629175, 109627700150974330, 110276661458274582, 109490679433560720, 110068921406778348, 110061820625502836, 109628427445508336, 110266470373379975, 109942543815365630, 110261804708151453, 109334117339133222, 109308550305406313, 110251022553495524, 110248292214624362, 109840438341062109, 109524841448390150, 110070803284871424, 110216763427530925, 109241747522482555, 109336851987706232, 110227997946086410, 110221254799657700, 110136854990411670, 110225230267881813, 110230623383625335, 302867, 109564896927210875, 110214662896585629, 109547586769963287, 109354564202240035, 109311815634069832, 110223062530386359, 110225228077037909, 109298579501648776]"
3465,109251428687235255,"[92728, 110296543361884918, 109439105066673144, 110284803060940662, 109247361665498996, 109612620897364322, 108302731082512619, 108199010462154121, 109927584088404957, 109706255058022218, 109320689537574384, 109377855280406957, 109405404197945254, 109931223144277058, 107553253593113652, 108203200392772477, 109370673613896719, 109428791583302133, 109291787069616645, 109540199564588890, 109537089285814320, 109828693538121960, 109246635657699066, 110054112383538740, 109951271711596479, 108669245991948856, 109377038719025767, 110020863396301111, 110307478365949782, 109900971265105744, 109552937136523889, 109287453516596194, 109318362931690722, 109285003327373114, 109333284888290188, 109366810646238296, 109302965565450901, 109541132628039896, 109663419382009555, 518553]"
1760,110187794965824403,"[110274722502894513, 110067722771944001, 110170301976134943, 110102569928541991]"
3723,110248847411412627,"[109268950529639373, 109348674028759455, 110303836103075705, 501947, 110300506516498989, 109627700150974330, 108277499957776668, 109512847506408330, 109289514913576893, 109251141738622825, 231587, 109371295358244439, 109245910623409127, 109366330833757882, 270139, 156059, 110275205448117869, 109297019978071454, 109430744102570158, 109298137478783154, 109418153691529324, 109336851987706232, 109247514295364421, 109436638656930328, 109297635266760368, 48901, 109601503234229112, 110262812864256181, 109522669800648696, 109431163185630151, 110252331632099993, 110235262730639176, 110244400145002926, 108896937300293901, 108448188257867181, 109293779732791922, 110242799140332752, 110242451221008105, 109355599629488174, 107377904155421941]"
3039,109960190035720131,"[109336851987706232, 109314377565760811, 109372724542649555, 109374444493302741, 409474, 109389075172332783, 109236650318473998, 109423757062006397, 109288169770066453, 109301967252936230, 109717988988557417, 279056, 109536582860496080, 109373853838761751, 109603953084536038, 109419624485175030, 109586909191490846, 109281425511749503, 109245820275948201, 459047, 558802, 716119, 109309715056032436, 109243458234695495, 7644, 109254463463687074, 109237638243937525, 109248088139607725, 109297174523203265, 109292791986066871]"
9655,110243729250485192,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
2545,108326805067117558,"[110272504592069717, 107770278469497760, 110247763830671684]"
2592,26797,"[109400274048348569, 109699790835414175, 109330704582548664, 109468575653840322, 109729025868300906, 893119, 109756048896676235, 108203038597701764, 1013458, 109961003178319455, 109701589400811804, 434035, 109692169014894656, 109364552260932875, 109817702563139356, 109891840218068165, 109688418327208100, 109845965123745603, 109745674916892607, 109746069267729670, 6961, 109732207755698598, 109746043752251871, 109378224187710803, 109800959256315370, 109762630708655192, 109443397176251182, 109745437120432758, 109756530689913187, 109747080811217155, 109537550248408355, 109276590907627877, 109432199085898880, 109774676985409217, 109455635211666160, 109766413026715090, 109759960502248527, 109338162415005309, 453496, 382077]"
7966,109253076559557048,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
107,109848583962231002,"[109380948147746818, 109771153412456256, 110217297485252121, 109944443725829050, 110208237664623310, 567877, 1201950, 110098144455858904, 109313945244622234, 108284053765483958, 110061771691238927, 693184, 110000754588266748, 109270005860115306, 109443988417231706, 109858201668989698, 109837873123899871, 109842561061160573, 109841446970973515, 109812519085980375, 773764, 109538674505171616, 109368331985306204, 42487, 109654502271606885, 109642834868180645, 109580577290289042, 319072, 109492623306935920, 109284678810840664, 109365151455901275, 109434958892011618, 13434, 109409201928224970, 109408050068551177, 109399492493434043, 109395610154463152, 109391500186921941, 109312783039499414, 109364886019704409]"
8187,109258494895990438,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
2753,108601363029999996,"[1018032, 1403882, 107404768049169360, 110193627923149359, 1334985, 106358846873623551, 109296999506833092, 110215037871288493, 109903924074045208, 110142147412002451, 738461, 110129668852395359, 109370420038578845, 1022581, 806087, 109273624930629233, 109516864786313340, 109309719165322963, 166366, 109340906920662276, 109767572636452372, 1345184, 109893434005191811, 825720, 1412265, 1392186, 108077750845875695, 1157138, 107429382814032218, 1341334, 1416553, 109524700914312445, 563359, 106329810323330828, 869259, 1341934, 109360761819215517, 1349456, 109903122503188005, 108561309317594120]"
6231,109956450497135672,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
2876,110069729635528902,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
5323,110246225536625491,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
2894,363154,"[110216253733367442, 109299908942428803, 110290584187882541, 110280654428478548, 510874, 23439, 226997, 110100878444442877, 108608428164884516, 110258220196396574, 109491663937214503, 110205773941816661, 110102569928541991, 109548490873100814, 109523124530449103, 1033093, 110180384512195266, 110037196686826878, 109552987674782515, 109298743077047108, 109325709107627120, 108220244552868172, 109904498743120016, 110072677725411603, 109249067308514734, 109238838679824256, 110028401123851056, 109362083794013909, 109984233456493046, 109497363513311477, 109882025051049467, 923382, 109885862498623920, 109906, 109845298550366701]"
8178,110162865023318212,"[110251481531321454, 110245577597258302, 110233998163434569, 110226725620436225, 110198088964215163, 737227, 110153102933701065, 110103218157729413, 109946727577828079, 110025636484391394, 109315453809257745, 110028408580362397, 110000461395566217, 1145943, 109956859560146518, 109947983377470892, 107347343162123272, 109833896312655563, 109564485523011130]"
971,470710,"[109698539606541871, 494073, 109247515064122733, 110037196686826878, 109925969691396534, 109608338222308711, 109315894849286430, 109253199563738864, 864101, 109405121722090251, 127165, 109881193344135156, 110059115064805646, 869664, 1185988, 107192220324249637, 109257098418641664, 109377796914836681]"
2020,32073,"[109520949079004284, 109543399031319888, 110284256838102170, 109824850164971498, 109326527575282503, 110290584187882541, 109909782922629175, 109627700150974330, 110276661458274582, 109490679433560720, 110068921406778348, 110061820625502836, 109628427445508336, 110266470373379975, 109942543815365630, 110261804708151453, 109334117339133222, 109308550305406313, 110251022553495524, 110248292214624362, 109840438341062109, 109524841448390150, 110070803284871424, 110216763427530925, 109241747522482555, 109336851987706232, 110227997946086410, 110221254799657700, 110136854990411670, 110225230267881813, 110230623383625335, 302867, 109564896927210875, 110214662896585629, 109547586769963287, 109354564202240035, 109311815634069832, 110223062530386359, 110225228077037909, 109298579501648776]"
9054,109956450497135672,"[1048706, 109309524137590685, 109366521833640744, 109247788705885565, 109507304521187612, 955644, 106619689670692679, 109364038781444351, 109836794031976999, 109382497397768908, 109370089299767946, 109800188987615456, 109700050959742909, 108197013724399724, 109524395880871683, 109457569794006063, 108561542164843334, 108233915414284844, 109115141579622731, 109330042788120280, 109257959677822618, 109245975790470208, 109307279107613850, 109270792232993155, 109338854306526184, 109245252628876141, 108199219079766017, 109250860109650963, 1194246, 109115513985224675, 108333140609692146, 1339236]"
952,109258494895990438,"[108277499957776668, 110300355646243395, 109932318708628391, 109298426354779236, 109811982571742614, 278850, 110136199046053487, 109288512773429918, 109321248288007586, 109387327319753692, 109300084950742095, 110136198944723870, 109538525336953342, 110101537206350248, 109301355984766625, 110106828007675127, 109328131715574073, 109287518947714942, 109928591590492137, 110045112965022035, 110035991098030150, 109536676373755295, 108197467418289594, 109320432714772423, 1145480, 109429760172873184, 109746292135630876, 108439069617263722, 109552474562303953, 58065, 109745621451064231, 109854094216727837, 109851637348757027, 109366864683803757, 109520815518034053, 109724331212668308, 109688112377848704, 109531141108997627, 109316042535644673, 240203]"
5861,106569356531118070,"[108201606392045324, 109300400295855762, 459233, 109922226888185889, 109600538126474973, 109508856003133381, 109853216950865486, 109303459065364579, 108004392061951906, 109842343066652319, 109363019380643575, 109362094436273174, 109293590962739810, 215357, 27046, 109376649043214180, 109302927262716765, 174747, 109350859495979023, 109515680214374940, 26838, 109382007690873539, 292203, 27170, 108194261852176923, 319337, 222480, 633218, 610392, 620015]"
3006,110235873713870128,"[108222979139848900, 109420904006959729, 108636407106085366, 109884854166651636, 108269667711496578, 109306739805231548, 109309469458705828]"
7438,110243267736605019,"[110249958337768915, 110243742798456400, 109812873199126423, 108198167781154092, 110125254807769620, 110045112965022035, 109895490964025951, 109992029058130424, 109844883470969991, 109586420871505998, 109372832625368566, 109612954365398322, 109340745030182717, 109299587359294298, 109364384792039274, 109515310205429685, 109304931238881009, 109474823895393576, 108281206683552462, 109428030236652441, 109307975911008810, 109408128762960923, 109539454526504771, 1379328, 108386654905419370, 109320170521314773, 109312201001162285, 109376804817559446, 109371592596385211, 109268631747759769, 109521731728168968, 109555143782181099, 408952, 109290001658931918, 109296487320574988, 109412096950072265, 230110, 109377852063749631, 109290536051067231, 109311227774088863]"
9238,110192908506089827,"[110276191564151010, 109948603352570228, 109818402940617850, 109557315574019435, 110014935206253226, 109291939553787413, 106239879479280892, 109925942660454214, 109590968244958067, 109801497704106084, 110162485717735547, 109754877694819616, 109432039920970023, 110155675062672957, 109652041187640871, 110070289430549579, 110003119963357276, 109643234020568339, 109276800870207724, 110031313509399236, 109289966850169404]"
1056,108291588973200107,"[109520949079004284, 109543399031319888, 110284256838102170, 109824850164971498, 109326527575282503, 110290584187882541, 109909782922629175, 109627700150974330, 110276661458274582, 109490679433560720, 110068921406778348, 110061820625502836, 109628427445508336, 110266470373379975, 109942543815365630, 110261804708151453, 109334117339133222, 109308550305406313, 110251022553495524, 110248292214624362, 109840438341062109, 109524841448390150, 110070803284871424, 110216763427530925, 109241747522482555, 109336851987706232, 110227997946086410, 110221254799657700, 110136854990411670, 110225230267881813, 110230623383625335, 302867, 109564896927210875, 110214662896585629, 109547586769963287, 109354564202240035, 109311815634069832, 110223062530386359, 110225228077037909, 109298579501648776]"
3787,517719,"[110274722502894513, 110067722771944001, 110170301976134943, 110102569928541991]"
7231,187722,[110164840955866341]
5019,472334,"[109366127502156558, 109327661656375280, 110079392469179881, 109377049492472558, 110235159320527186, 109330704582548664, 109396734940008369, 109246494255809972, 108199823374218982, 108950626336567355, 1102601, 1048630, 108192526335852478, 109479478473162751, 108226104143662471, 548077, 109394547533172373, 108233265672585462, 109320973843812690, 496030, 107632463889661321, 1197713, 108194416875492257, 551784, 1069259, 108197371239903560, 109281253844526970, 108160195019133070, 109293112284889930, 109358766421839701, 109365196184434126, 109371274655238593, 109365222208343765, 109297192065446018, 109320217893905018, 109290348304739692]"
4903,109393630641783355,"[109307897655852553, 110298103500629367, 110286177391393383, 110276526661794556, 108222772382268791, 110202654526689174, 110191423998097451, 108135630365156366, 109321716407038009, 109371535633773695, 109375997767724171, 108199135287170329, 110005595143570501, 108203939572970289, 109394333066429412, 471845, 109511543852579530, 108228502341336312, 858751, 109253527594040597, 110066046876411588, 109315453809257745, 110015147954114781, 109315799846765642, 109331027993807046, 109270085172590616, 484368, 1083491, 109269109879735097, 800124, 109296180422264332, 109302542374672083, 109239635775429357, 109269024620102363, 109262269336372685, 109953205986035894, 535583, 109551598048611411, 109343660473024463, 108211404668723943]"
8093,109258494895990438,"[109336851987706232, 109314377565760811, 109372724542649555, 109374444493302741, 409474, 109389075172332783, 109236650318473998, 109423757062006397, 109288169770066453, 109301967252936230, 109717988988557417, 279056, 109536582860496080, 109373853838761751, 109603953084536038, 109419624485175030, 109586909191490846, 109281425511749503, 109245820275948201, 459047, 558802, 716119, 109309715056032436, 109243458234695495, 7644, 109254463463687074, 109237638243937525, 109248088139607725, 109297174523203265, 109292791986066871]"
6843,34616,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
1862,483140,"[109400274048348569, 109699790835414175, 109330704582548664, 109468575653840322, 109729025868300906, 893119, 109756048896676235, 108203038597701764, 1013458, 109961003178319455, 109701589400811804, 434035, 109692169014894656, 109364552260932875, 109817702563139356, 109891840218068165, 109688418327208100, 109845965123745603, 109745674916892607, 109746069267729670, 6961, 109732207755698598, 109746043752251871, 109378224187710803, 109800959256315370, 109762630708655192, 109443397176251182, 109745437120432758, 109756530689913187, 109747080811217155, 109537550248408355, 109276590907627877, 109432199085898880, 109774676985409217, 109455635211666160, 109766413026715090, 109759960502248527, 109338162415005309, 453496, 382077]"
7850,108165060001590110,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
9123,110106510564511633,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
5527,109960190035720131,"[109380948147746818, 109771153412456256, 110217297485252121, 109944443725829050, 110208237664623310, 567877, 1201950, 110098144455858904, 109313945244622234, 108284053765483958, 110061771691238927, 693184, 110000754588266748, 109270005860115306, 109443988417231706, 109858201668989698, 109837873123899871, 109842561061160573, 109841446970973515, 109812519085980375, 773764, 109538674505171616, 109368331985306204, 42487, 109654502271606885, 109642834868180645, 109580577290289042, 319072, 109492623306935920, 109284678810840664, 109365151455901275, 109434958892011618, 13434, 109409201928224970, 109408050068551177, 109399492493434043, 109395610154463152, 109391500186921941, 109312783039499414, 109364886019704409]"
